"Time (ms)","Recording (a.u.)"
5.479374219E0,-9.146472439E-3
5.500208341E0,-8.951820433E-3
5.521042464E0,-8.713695221E-3
5.541876586E0,-8.596528322E-3
5.562710709E0,-8.643670008E-3
5.583544831E0,-8.417022415E-3
5.604378954E0,-8.228993043E-3
5.625213076E0,-7.926315069E-3
5.646047199E0,-7.392216474E-3
5.666881321E0,-7.091715001E-3
5.687715444E0,-6.629074458E-3
5.708549566E0,-6.033936515E-3
5.729383689E0,-5.584641360E-3
5.750217811E0,-4.918540362E-3
5.771051934E0,-4.320031963E-3
5.791886056E0,-3.733937163E-3
5.812720179E0,-2.943247557E-3
5.833554301E0,-2.274615690E-3
5.854388424E0,-1.534554642E-3
5.875222546E0,-8.609410143E-4
5.896056669E0,-1.538371871E-4
5.916890791E0,7.611187175E-4
5.937724914E0,1.563929603E-3
5.958559036E0,2.289624186E-3
5.979393159E0,2.984472085E-3
6.000227281E0,3.819312667E-3
6.021061404E0,4.561050795E-3
6.041895526E0,5.254290998E-3
6.062729649E0,5.983411334E-3
6.083563771E0,6.469581742E-3
6.104397894E0,7.119119633E-3
6.125232016E0,7.824301720E-3
6.146066139E0,8.523358963E-3
6.166900261E0,9.294149466E-3
6.187734384E0,9.877156466E-3
6.208568506E0,1.048035361E-2
6.229402629E0,1.091017481E-2
6.250236751E0,1.116219256E-2
6.271070874E0,1.160219125E-2
6.291904996E0,1.193121076E-2
6.312739119E0,1.214520261E-2
6.333573241E0,1.242042240E-2
6.354407364E0,1.266720146E-2
6.375241486E0,1.289869752E-2
6.396075609E0,1.307142526E-2
6.416909731E0,1.334463805E-2
6.437743854E0,1.353434660E-2
6.458577976E0,1.348101161E-2
6.479412099E0,1.343123801E-2
6.500246221E0,1.335057802E-2
6.521080344E0,1.331696287E-2
6.541914466E0,1.320328750E-2
6.562748589E0,1.296553947E-2
6.583582711E0,1.277153753E-2
6.604416834E0,1.253756415E-2
6.625250956E0,1.235764287E-2
6.646085079E0,1.211588364E-2
6.666919201E0,1.168760005E-2
6.687753324E0,1.118878089E-2
6.708587446E0,1.064258534E-2
6.729421569E0,1.023843978E-2
6.750255692E0,9.727673605E-3
6.771089814E0,8.925523609E-3
6.791923937E0,8.324750699E-3
6.812758059E0,7.661470678E-3
6.833592182E0,6.970935967E-3
6.854426304E0,6.463444792E-3
6.875260427E0,5.708749406E-3
6.896094549E0,5.042827688E-3
6.916928672E0,4.323296715E-3
6.937762794E0,3.495665966E-3
6.958596917E0,2.860593610E-3
6.979431039E0,2.095959615E-3
7.000265162E0,1.378297107E-3
7.021099284E0,6.326723960E-4
7.041933407E0,-1.462664513E-4
7.062767529E0,-7.389078382E-4
7.083601652E0,-1.315675327E-3
7.104435774E0,-1.813878072E-3
7.125269897E0,-2.375924960E-3
7.146104019E0,-2.958672121E-3
7.166938142E0,-3.492549527E-3
