"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.565254480E2,5.483156312E-1,8.879845545E-1,2.807610762E-1
1.565454360E2,4.517722535E-1,1.151773795E0,2.191208982E-1
1.565654240E2,3.493845838E-1,1.151267353E0,1.503126186E-1
1.565854120E2,1.470668292E-1,1.055544120E0,-1.097933510E-2
1.566054000E2,-2.841021752E-1,8.811326411E-1,-1.022356786E-1
1.566253880E2,1.093359160E-1,6.410551757E-1,-3.075501313E-1
1.566453760E2,5.313557822E-1,2.953020052E-1,-5.077206787E-1
1.566653640E2,4.664516884E-1,2.120579734E-1,-4.618821259E-1
1.566853520E2,-2.654337698E-1,2.157257125E-1,-4.238488021E-1
1.567053400E2,2.303101301E-1,5.434489936E-2,-5.773510768E-1
1.567253280E2,3.644470114E-1,-4.776513722E-2,-6.685156739E-1
1.567453160E2,-2.000426030E-1,-2.253693425E-1,-6.368249345E-1
1.567653040E2,1.421557528E-1,-5.738605084E-1,-2.910118300E-1
1.567852930E2,-2.892793000E-2,-7.742671736E-1,-1.080881202E-1
1.568052810E2,-7.276935893E-1,-6.634112739E-1,-1.018235047E-2
1.568252690E2,-5.222738868E-1,-6.998583578E-1,-2.107044160E-1
1.568452570E2,1.597827691E-1,-8.261496643E-1,-1.811560599E-1
1.568652450E2,3.552493411E-1,-8.501576740E-1,-1.292690742E-1
1.568852330E2,2.262761360E-1,-8.559812084E-1,-1.975926562E-1
1.569052210E2,1.223266751E-1,-9.240305925E-1,-1.114771664E-1
1.569252090E2,8.015597105E-2,-9.683271249E-1,-3.988970518E-3
1.569451970E2,-3.464165372E-1,-9.323062299E-1,5.741622247E-2
1.569651850E2,-5.163915879E-1,-7.477876921E-1,2.955942198E-1
1.569851730E2,4.726029593E-1,3.192184328E-1,1.097498916E0
1.570051610E2,1.124628316E0,1.642327926E0,1.399092525E0
1.570251490E2,9.502748698E-1,2.173127053E0,1.053640194E0
1.570451370E2,3.830464196E-1,1.168575331E0,1.467686943E-1
1.570651250E2,-4.233477688E-1,2.001189092E-1,-3.080535400E-1
1.570851130E2,-7.024727941E-1,-8.574263477E-1,1.195382110E-1
1.571051010E2,-1.392491019E-1,2.015109850E-1,2.067462165E-2
1.571250890E2,-1.638559395E-1,-4.577458421E-1,-1.543278651E-1
1.571450770E2,2.103921747E-1,-1.975098816E-1,-8.949982166E-2
1.571650650E2,4.481990200E-1,7.716829236E-1,-9.796658993E-2
1.571850540E2,3.784434915E-1,1.403371591E-1,1.908858633E-1
1.572050420E2,-4.884915984E-1,4.531906053E-1,1.022023129E-1
1.572250300E2,-7.797466725E-1,6.850897528E-2,1.452694317E-1
1.572450180E2,-1.445408320E-1,-2.260146924E-1,-4.505974017E-2
1.572650060E2,3.347063184E-1,-3.688764234E-1,-1.815431090E-1
1.572849940E2,5.505065829E-1,-5.335476840E-1,6.477549154E-2
1.573049820E2,3.123261005E-1,-5.214290372E-1,2.866820399E-1
1.573249700E2,4.241979539E-2,-4.932238596E-1,2.518408207E-1
1.573449584E2,-6.394754773E-1,-3.498078126E-1,3.868471098E-1
1.573649464E2,-1.294752470E0,-1.939541166E-1,-3.837223577E-1
1.573849344E2,-8.142493379E-1,-1.588401248E-1,-1.128321929E0
1.574049224E2,-1.192147869E-1,-9.801833779E-3,4.751220860E-2
1.574249104E2,1.615193921E-1,-7.182542464E-2,2.721177220E-2
1.574448984E2,6.416237444E-1,-5.559457725E-2,-4.051722106E-1
1.574648864E2,-2.375706178E-1,1.866832867E-1,-2.786514008E-1
1.574848744E2,6.024953467E-1,1.054559961E-2,2.133507928E-1
1.575048624E2,6.797323877E-1,5.190679315E-2,1.408032918E-1
1.575248504E2,2.736005759E-1,1.456114938E-1,-3.237672012E-1
1.575448394E2,6.247223675E-2,-3.555890278E-1,6.528876744E-2
1.575648274E2,-5.527156609E-1,-5.064447797E-1,-1.243118048E-1
1.575848154E2,-2.470799446E-1,6.100138793E-2,4.610248876E-1
1.576048034E2,-8.384755218E-1,-3.077485346E-1,-9.825653873E-2
1.576247914E2,-3.043475747E-2,1.126279898E-1,5.130172328E-1
1.576447794E2,-1.977978569E-1,2.731384997E-1,-1.305098534E-2
1.576647674E2,-1.134535253E-2,-3.368572167E-1,3.297783581E-1
1.576847554E2,2.521962583E-2,-6.045013710E-2,1.419155053E-1
