"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
9.814191146E1,2.300638437E0,-9.514095187E-1,1.229498267E0
9.816189846E1,2.357112646E0,-1.027023077E0,1.251503110E0
9.818188546E1,2.145341396E0,-7.305264473E-1,1.409524798E0
9.820187246E1,1.463825107E0,-5.460636616E-1,1.703684211E0
9.822185846E1,7.541748881E-1,-5.978697538E-1,1.851968527E0
9.824184546E1,4.416729808E-1,-1.367353797E0,1.766420841E0
9.826183246E1,3.725234270E-1,-2.073614359E0,1.794051409E0
9.828181946E1,7.165828347E-1,-1.535608172E0,1.535847783E0
9.830180646E1,1.570304036E0,3.603461385E-1,1.166316867E0
9.832179408E1,2.308039904E0,1.569609761E0,9.512887001E-1
9.834178008E1,3.632218361E0,1.754098386E-1,9.524216056E-1
9.836176708E1,2.991989613E0,-8.598035574E-1,1.512421250E0
9.838175408E1,2.368236065E0,-1.022488117E0,8.899705410E-1
9.840174108E1,1.867455125E0,4.129922390E-2,-3.125604987E-1
9.842172808E1,1.292691946E0,5.814267397E-1,-9.008783102E-1
9.844171508E1,9.376776814E-1,3.857654631E-1,-7.085427046E-1
9.846170108E1,1.047942042E0,-1.260541975E-1,1.312573627E-2
9.848168808E1,1.285555243E0,5.902023315E-1,4.007861316E-1
9.850167508E1,1.335749984E0,1.633004904E0,1.597535238E-2
9.852166208E1,1.262173176E0,2.451743841E0,-8.705838323E-1
9.854164908E1,1.277937889E0,2.637653589E0,-1.549182534E0
9.856163508E1,1.245296597E0,1.879597783E0,-1.382159114E0
9.858162208E1,1.495334029E0,8.760358691E-1,-8.922308087E-1
9.860160908E1,2.095861435E0,9.534379840E-1,-8.789229393E-1
9.862159608E1,2.694771767E0,5.709106326E-1,-7.128191590E-1
9.864158308E1,3.178465605E0,2.083259523E-1,-5.420818329E-1
9.866157008E1,3.716716290E0,-2.231947333E-2,-3.930446506E-1
9.868155608E1,4.230196953E0,-5.761348605E-1,2.464978024E-2
9.870154308E1,4.530955315E0,-9.049887061E-1,3.711648583E-1
9.872153008E1,4.332843781E0,-8.570582271E-1,5.441983938E-1
9.874151708E1,3.551134109E0,-6.874357462E-1,5.475146174E-1
9.876150408E1,2.254961252E0,-1.887047142E-1,2.821697593E-1
9.878149108E1,7.358078957E-1,2.392802089E-1,-1.166101396E-1
9.880147708E1,-7.171907425E-1,8.730529249E-2,-2.055959404E-1
9.882146408E1,-1.585701942E0,-2.977711335E-2,-1.157214418E-1
9.884145108E1,-1.907436848E0,1.823549569E-1,5.295786634E-2
9.886143808E1,-1.980027914E0,5.665737987E-1,6.187465414E-2
9.888142508E1,-1.948206663E0,6.180995107E-1,1.225100383E-1
9.890141108E1,-1.797120929E0,-1.289549284E-2,5.234673023E-1
9.892139808E1,-1.593822122E0,-1.143241167E0,1.180787683E0
9.894138508E1,-1.514050364E0,-1.283452868E0,1.337709188E0
9.896137208E1,-1.373003006E0,-4.130180776E-1,9.503152966E-1
9.898135908E1,-1.424864769E0,-5.020729899E-1,9.206370115E-1
9.900134608E1,-1.593801022E0,-9.716650844E-1,1.212553740E0
9.902133208E1,-1.736670971E0,-1.207839608E0,1.481991172E0
9.904131908E1,-1.846922040E0,-9.134423137E-1,1.368083000E0
9.906130608E1,-2.109499454E0,-4.328186512E-1,9.992306828E-1
9.908129308E1,-2.225346327E0,4.477198422E-1,5.734080076E-1
9.910128008E1,-2.083274841E0,1.168660164E0,1.945227087E-1
9.912126608E1,-1.943361044E0,1.384852290E0,8.484201133E-2
9.914125308E1,-1.824851751E0,1.160329938E0,5.468171835E-2
9.916124008E1,-1.543040156E0,9.090786576E-1,-6.991374493E-2
9.918122708E1,-1.214556813E0,9.690464139E-1,-1.826389581E-1
9.920121408E1,-9.467044473E-1,9.178072810E-1,-1.793102771E-1
9.922120108E1,-1.959986448E0,9.782680273E-1,2.221681625E-1
9.924118708E1,-1.938679338E0,5.277878642E-1,1.135123000E-1
9.926117408E1,-1.325033545E0,-7.584584355E-1,3.583590984E-1
9.928116108E1,-1.563592911E0,-2.779566646E-1,-6.448795795E-1
9.930114808E1,-1.472803235E0,-5.999926925E-1,-9.204865694E-1
9.932113487E1,-8.982722163E-1,-1.321399570E0,-9.890713096E-1
9.934112187E1,-4.380817115E-1,-4.939679801E-1,-1.425481558E0
9.936110787E1,-3.853467405E-1,3.217754960E-1,-1.595302105E0
9.938109487E1,9.975882247E-3,3.744876385E-1,-1.834482670E0
9.940108187E1,4.782585800E-1,2.549107075E-1,-2.119780302E0
9.942106887E1,4.682763219E-1,5.811733007E-2,-2.551997900E0
9.944105587E1,2.695381939E-1,-1.055415869E0,-2.309985876E0
9.946104187E1,3.061102033E-1,-1.168146014E0,-1.775867343E0
9.948102887E1,2.580506504E-1,-8.886312842E-1,-1.352762699E0
9.950101587E1,2.591966391E-1,-1.285647869E0,-2.273773849E-1
9.952100288E1,7.580515742E-1,-1.110476017E0,3.159804344E-1
9.954098987E1,1.348664999E0,-2.150981426E-1,-4.324873984E-1
9.956097687E1,1.078932762E0,-7.479498982E-1,-7.084476352E-1
9.958096287E1,-2.518723309E-1,-1.475031376E0,-3.393058181E-1
9.960094987E1,7.890613377E-2,-1.116291046E0,3.069983721E-1
9.962093687E1,1.531281322E-1,-1.069831371E0,3.882807493E-1
9.964092387E1,6.497906893E-2,-5.542365313E-1,4.982967079E-1
9.966091087E1,4.618676007E-1,-2.823464274E-1,4.918172359E-1
9.968089787E1,8.495778441E-1,-1.103130102E0,1.676554084E-1
9.970088387E1,1.129316330E0,-1.902300835E0,-9.986045957E-2
9.972087087E1,1.461883903E0,-2.419041157E0,-3.205379546E-1
9.974085787E1,1.709511161E0,-1.471235633E0,-3.922978938E-1
9.976084487E1,1.716320992E0,-5.370931029E-1,-1.584864706E-1
9.978083187E1,1.368908882E0,-2.631889582E-1,1.200154647E-1
9.980081787E1,1.145940542E0,8.431138098E-2,5.663886666E-1
9.982080487E1,7.835896611E-1,3.719037473E-1,8.297140598E-1
9.984079187E1,2.501862645E-1,7.874776721E-1,9.222373366E-1
9.986077887E1,-1.040354837E-2,9.755181074E-1,1.040053248E0
9.988076587E1,-3.557504155E-3,8.578689098E-1,1.230761170E0
9.990075287E1,-1.842798144E-1,-2.370965183E-1,1.127512217E0
9.992073887E1,-7.544276714E-1,-7.528663874E-1,1.382463574E0
9.994072587E1,-1.725902796E0,-6.246692538E-1,1.483694553E0
9.996071287E1,-1.741858125E0,-4.632605016E-1,1.886543989E0
9.998069987E1,-1.404366732E0,-5.428717136E-1,2.027047873E0
1.000006869E2,-7.630068660E-1,-5.831243992E-1,1.519617438E0
1.000206739E2,-3.144190013E-1,-8.759722114E-1,6.543611884E-1
1.000406599E2,-5.470447242E-2,-1.232935786E0,-7.360967994E-2
1.000606469E2,-3.474336267E-1,-7.991691828E-1,-8.682317287E-2
1.000806339E2,4.780818820E-1,-1.069836378E0,1.253130287E-1
1.001006209E2,9.328609109E-1,-1.307520151E0,4.686331451E-1
1.001206079E2,1.551992893E0,-1.914288282E0,8.998521566E-1
1.001405939E2,1.930705190E0,-2.027790546E0,1.120595455E0
1.001605809E2,1.922473550E0,-1.636094451E0,9.120358229E-1
1.001805679E2,1.001151085E0,-1.173761964E0,5.748170018E-1
1.002005549E2,3.538291156E-1,-1.007056713E0,3.464153111E-1
1.002205419E2,4.594512284E-1,-7.756301761E-1,4.872851074E-1
1.002405289E2,4.861107171E-1,-4.719949067E-1,7.311808467E-1
1.002605149E2,1.277818382E-1,2.193865627E-1,6.389097571E-1
1.002805019E2,-7.053205371E-2,5.822785497E-1,3.321884274E-1
1.003004889E2,2.616391182E-1,5.648732781E-1,2.074425220E-1
1.003204756E2,4.755635560E-1,5.562110543E-1,2.221993208E-1
1.003404626E2,3.414485157E-1,5.644317269E-1,1.019573659E-1
1.003604486E2,1.137312278E-1,6.747987866E-1,-3.271764144E-2
1.003804356E2,-6.744026393E-2,5.924872160E-1,-2.000048906E-1
1.004004226E2,-2.563851476E-1,1.692336351E-1,-2.582775354E-1
1.004204096E2,-1.756852716E-1,-2.281464338E-1,-1.694280654E-1
1.004403966E2,5.334105343E-2,-5.890560150E-1,-4.954506457E-2
1.004603836E2,-7.757184096E-3,-1.810443848E-1,-2.188020200E-1
1.004803696E2,-2.289257497E-1,-1.442190707E-1,3.104578704E-3
1.005003566E2,1.611010730E-1,-1.881568879E-1,3.146195412E-1
1.005203436E2,-7.525293529E-2,-2.911908552E-2,4.742068350E-1
1.005403306E2,-3.923400044E-1,2.176905125E-1,4.604611695E-1
1.005603176E2,-4.403110147E-1,3.350456059E-1,4.354876578E-1
1.005803046E2,-1.816541553E-1,1.405836344E-1,3.540881276E-1
1.006002906E2,-3.457176983E-1,3.941578791E-2,2.351465821E-1
1.006202776E2,-6.145380139E-1,1.485530883E-1,1.308989823E-1
1.006402646E2,-5.188875794E-1,7.629366964E-2,-7.024690509E-2
1.006602516E2,-5.481225252E-1,2.351167351E-1,-2.348502278E-1
1.006802386E2,-7.284366488E-1,2.057921290E-1,-4.694454074E-1
1.007002256E2,-6.556101441E-1,5.914400145E-2,-5.007343888E-1
1.007202116E2,-2.898555100E-1,-2.269839644E-1,-3.873550594E-1
1.007401986E2,1.707084849E-2,-6.181789041E-1,-2.703767419E-1
1.007601856E2,-1.932532154E-2,-7.763764858E-1,-1.894151121E-1
1.007801726E2,-2.324339747E-1,-7.174086571E-1,-1.668059081E-1
1.008001596E2,-3.896271586E-1,-5.927268863E-1,-2.170461863E-1
1.008201456E2,-3.921708465E-1,-5.131018162E-1,-1.979510635E-1
1.008401326E2,-2.496993840E-1,-5.313544869E-1,-1.723610163E-1
1.008601196E2,4.251743853E-2,-6.735550165E-1,-1.704376936E-1
1.008801066E2,9.207067080E-3,-5.612642169E-1,-1.450939476E-1
1.009000936E2,-7.251014560E-2,-4.656199813E-1,-1.152042374E-1
1.009200806E2,-4.801504314E-2,-4.527563453E-1,-8.538376540E-2
1.009400666E2,-5.466213077E-2,-4.998956025E-1,-5.547461286E-2
1.009600536E2,3.547558933E-2,-7.181220055E-1,2.312534023E-3
1.009800406E2,-2.346511930E-1,-5.986744165E-1,-3.503751755E-2
1.010000276E2,-3.402419686E-1,-4.496295452E-1,-1.176958978E-1
1.010200146E2,-1.961067170E-1,-3.712571263E-1,8.761864901E-2
