Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
230	800	10	1	02/07/24 11:06:15 AM	
231	800	10	1	02/07/24 11:06:16 AM	
232	800	7	1	02/07/24 11:06:17 AM	
233	800	11	1	02/07/24 11:06:18 AM	
234	800	15	1	02/07/24 11:06:19 AM	
235	800	8	1	02/07/24 11:06:21 AM	
236	800	11	1	02/07/24 11:06:22 AM	
237	800	13	1	02/07/24 11:06:23 AM	
238	800	9	1	02/07/24 11:06:24 AM	
239	800	12	1	02/07/24 11:06:25 AM	
240	800	12	1	02/07/24 11:06:26 AM	
241	800	14	1	02/07/24 11:06:28 AM	
242	800	15	1	02/07/24 11:06:29 AM	
243	800	13	1	02/07/24 11:06:30 AM	
244	800	11	1	02/07/24 11:06:31 AM	
245	800	13	1	02/07/24 11:06:32 AM	
246	800	12	1	02/07/24 11:06:33 AM	
247	800	13	1	02/07/24 11:06:35 AM	
248	800	8	1	02/07/24 11:06:36 AM	
249	800	9	1	02/07/24 11:06:37 AM	
250	800	16	1	02/07/24 11:06:38 AM	
251	800	15	1	02/07/24 11:06:39 AM	
252	800	12	1	02/07/24 11:06:41 AM	
253	800	7	1	02/07/24 11:06:42 AM	
254	800	17	1	02/07/24 11:06:43 AM	
255	800	4	1	02/07/24 11:06:44 AM	
256	800	8	1	02/07/24 11:06:45 AM	
257	800	16	1	02/07/24 11:06:46 AM	
258	800	12	1	02/07/24 11:06:47 AM	
259	800	10	1	02/07/24 11:06:48 AM	
260	800	9	1	02/07/24 11:06:50 AM	
261	800	12	1	02/07/24 11:06:51 AM	
262	800	10	1	02/07/24 11:06:52 AM	
263	800	11	1	02/07/24 11:06:53 AM	
264	800	5	1	02/07/24 11:06:54 AM	
265	800	13	1	02/07/24 11:06:56 AM	
266	800	13	1	02/07/24 11:06:57 AM	
267	800	8	1	02/07/24 11:06:58 AM	
268	800	9	1	02/07/24 11:06:59 AM	
269	800	9	1	02/07/24 11:07:00 AM	
270	800	11	1	02/07/24 11:07:01 AM	
271	800	12	1	02/07/24 11:07:02 AM	
272	800	8	1	02/07/24 11:07:04 AM	
273	800	11	1	02/07/24 11:07:05 AM	
274	800	10	1	02/07/24 11:07:06 AM	
275	800	11	1	02/07/24 11:07:07 AM	
276	800	7	1	02/07/24 11:07:08 AM	
277	800	13	1	02/07/24 11:07:09 AM	
278	800	11	1	02/07/24 11:07:10 AM	
