Wavelength,Intensity Source #3,,starting W (nm),ending W (nm),Delta W (nm),Intensity,,,Source #3
486.387,99.976,,,,,,,,
486.748,99.976,,,,,,,,
487.11,99.976,,,,,,,,
487.471,32.031,,,,,,,,
487.832,14.502,,,,,,,,
488.194,12.305,,,,,,,,
488.555,10.571,,,,,,,,
488.916,9.717,,,,,,,,
489.277,8.936,,,,,,,,
489.638,8.35,,,,,,,,
489.999,8.228,,,,,,,,
490.361,7.593,,,,,,,,
490.721,7.593,,,,,,,,
491.082,7.959,,,,,,,,
491.443,8.203,,,,,,,,
491.804,9.033,,,,,,,,
492.165,9.448,,,,,,,,
492.526,9.106,,,,,,,,
492.887,7.959,,,,,,,,
493.247,7.08,,,,,,,,
493.608,6.592,,,,,,,,
493.969,6.372,,,,,,,,
494.329,6.689,,,,,,,,
494.69,6.519,,,,,,,,
495.05,6.543,,,,,,,,
495.411,6.86,,,,,,,,
495.771,6.885,,,,,,,,
496.132,7.861,,,,,,,,
496.492,7.324,,,,,,,,
496.852,6.665,,,,,,,,
497.213,6.348,,,,,,,,
497.573,6.25,,,,,,,,
497.933,5.957,,,,,,,,
498.293,6.274,,,,,,,,
498.654,5.884,,,,,,,,
499.014,6.079,,,,,,,,
499.374,6.201,,,,,,,,
499.734,6.201,,,,,,,,
500.094,6.836,,,,,,,,
500.454,6.763,,,,,,,,
500.814,6.641,,,,,,,,
501.174,6.372,,,,,,,,
501.533,6.128,,,,,,,,
501.893,5.908,,,,,,,,
502.253,5.933,,,,,,,,
502.613,6.226,,,,,,,,
502.972,6.665,,,,,,,,
503.332,5.957,,,,,,,,
503.692,6.519,,,,,,,,
504.051,6.03,,,,,,,,
504.411,6.128,,,,,,,,
504.77,5.859,,,,,,,,
505.13,6.226,,,,,,,,
505.489,6.396,,,,,,,,
505.848,6.47,,,,,,,,
506.208,5.981,,,,,,,,
506.567,6.079,,,,,,,,
506.926,6.299,,,,,,,,
507.286,6.177,,,,,,,,
507.645,5.908,,,,,,,,
508.004,5.469,,,,,,,,
508.363,5.396,,,,,,,,
508.722,5.347,,,,,,,,
509.081,5.42,,,,,,,,
509.44,6.226,,,,,,,,
509.799,5.566,,,,,,,,
510.158,6.421,,,,,,,,
510.517,5.566,,,,,,,,
510.876,5.444,,,,,,,,
511.234,5.2,,,,,,,,
511.593,5.225,,,,,,,,
511.952,5.347,,,,,,,,
512.311,5.078,,,,,,,,
512.669,5.249,,,,,,,,
513.028,5.615,,,,,,,,
513.386,5.444,,,,,,,,
513.745,5.322,,,,,,,,
514.103,6.519,,,,,,,,
514.462,5.42,,,,,,,,
514.82,5.493,,,,,,,,
515.179,5.64,,,,,,,,
515.537,5.322,,,,,,,,
515.895,5.42,,,,,,,,
516.253,5.518,,,,,,,,
516.612,5.664,,,,,,,,
516.97,5.591,,,,,,,,
517.328,5.2,,,,,,,,
517.686,5.176,,,,,,,,
518.044,5.371,,,,,,,,
518.402,5.469,,,,,,,,
518.76,5.347,,,,,,,,
519.118,5.688,,,,,,,,
519.476,5.176,,,,,,,,
519.834,5.176,,,,,,,,
520.192,5.176,,,,,,,,
520.549,4.956,,,,,,,,
520.907,5.518,,,,,,,,
521.265,5.2,,,,,,,,
521.622,5.176,,,,,,,,
521.98,5.249,,,,,,,,
522.338,5.249,,,,,,,,
522.695,4.98,,,,,,,,
523.053,5.078,,,,,,,,
523.41,5.078,,,,,,,,
523.768,5.103,,,,,,,,
524.125,5.347,,,,,,,,
524.482,5.298,,,,,,,,
524.84,5.176,,,,,,,,
525.197,5.42,,,,,,,,
525.554,5.493,,,,,,,,
525.911,5.42,,,,,,,,
526.268,5.225,,,,,,,,
526.626,5.664,,,,,,,,
526.983,5.127,,,,,,,,
527.34,4.932,,,,,,,,
527.697,5.2,,,,,,,,
528.054,5.835,,,,,,,,
528.41,4.858,,,,,,,,
528.767,5.273,,,,,,,,
529.124,5.176,,,,,,,,
529.481,5.103,,,,,,,,
529.838,5.127,,,,,,,,
530.194,4.956,,,,,,,,
530.551,5.493,,,,,,,,
530.908,5.347,,,,,,,,
531.264,5.396,,,,,,,,
531.621,5.981,,,,,,,,
531.977,6.421,,,,,,,,
532.334,6.274,,,,,,,,
532.69,5.615,,,,,,,,
533.047,5.542,,,,,,,,
533.403,5.347,,,,,,,,
533.759,4.98,,,,,,,,
534.116,5.054,,,,,,,,
534.472,5.005,,,,,,,,
534.828,5.054,,,,,,,,
535.184,5.029,,,,,,,,
535.54,5.298,,,,,,,,
535.896,5.273,,,,,,,,
536.252,5.347,,,,,,,,
536.608,5.127,,,,,,,,
536.964,5.103,,,,,,,,
537.32,5.396,,,,,,,,
537.676,5.493,,,,,,,,
538.032,6.055,,,,,,,,
538.388,5.249,,,,,,,,
538.744,5.151,,,,,,,,
539.099,5.42,,,,,,,,
539.455,5.078,,,,,,,,
539.811,5.225,,,,,,,,
540.166,5.225,,,,,,,,
540.522,5.64,,,,,,,,
540.877,5.957,,,,,,,,
541.233,7.08,,,,,,,,
541.588,6.055,,,,,,,,
541.944,6.201,,,,,,,,
542.299,5.981,,,,,,,,
542.654,6.177,,,,,,,,
543.01,5.835,,,,,,,,
543.365,5.64,,,,,,,,
543.72,5.371,,,,,,,,
544.075,5.2,,,,,,,,
544.43,5.347,,,,,,,,
544.785,5.493,,,,,,,,
545.14,5.371,,,,,,,,
545.495,5.664,,,,,,,,
545.85,5.249,,,,,,,,
546.205,5.225,,,,,,,,
546.56,5.273,,,,,,,,
546.915,5.298,,,,,,,,
547.27,5.347,,,,,,,,
547.625,5.322,,,,,,,,
547.979,4.883,,,,,,,,
548.334,5.2,,,,,,,,
548.689,5.347,,,,,,,,
549.043,5.298,,,,,,,,
549.398,5.42,,,,,,,,
549.752,5.151,,,,,,,,
550.107,5.298,,,,,,,,
550.461,5.298,,,,,,,,
550.816,5.322,,,,,,,,
551.17,5.249,,,,,,,,
551.524,5.005,,,,,,,,
551.878,5.2,,,,,,,,
552.233,5.347,,,,,,,,
552.587,5.347,,,,,,,,
552.941,5.371,,,,,,,,
553.295,5.2,,,,,,,,
553.649,5.42,,,,,,,,
554.003,5.103,,,,,,,,
554.357,5.347,,,,,,,,
554.711,5.078,,,,,,,,
555.065,5.005,,,,,,,,
555.419,4.907,,,,,,,,
555.773,4.614,,,,,,,,
556.127,4.956,,,,,,,,
556.48,4.858,,,,,,,,
556.834,4.736,,,,,,,,
557.188,4.834,,,,,,,,
557.541,4.956,,,,,,,,
557.895,5.225,,,,,,,,
558.248,4.785,,,,,,,,
558.602,5.029,,,,,,,,
558.955,5.127,,,,,,,,
559.309,4.883,,,,,,,,
